tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners
Copa do Brasil,EC Juventude,2.0,2.0,Sao Paulo,3.0,6.0,121.0,156.0,11.0,12.0,23:30:00,2022-04-20,0.0,0.0,DRAW,DRAW,9.0
Copa do Brasil,Tocantinopolis EC,2.0,5.0,Athletico Paranaense,6.0,7.0,109.0,122.0,13.0,20.0,23:00:00,2022-04-20,-3.0,3.0,LOST,WON,13.0
Copa do Brasil,Atletico Mineiro,3.0,0.0,Brasiliense,7.0,3.0,102.0,57.0,22.0,2.0,23:00:00,2022-04-20,3.0,-3.0,WON,LOST,10.0
Copa do Brasil,Fortaleza FC,3.0,0.0,Vitoria,8.0,2.0,89.0,83.0,16.0,6.0,23:00:00,2022-04-20,3.0,-3.0,WON,LOST,10.0
Copa do Brasil,Goias,1.0,2.0,Bragantino,1.0,5.0,125.0,129.0,11.0,10.0,23:00:00,2022-04-20,-1.0,1.0,LOST,WON,6.0
Copa do Brasil,Fluminense,3.0,2.0,Vila Nova,7.0,7.0,100.0,72.0,7.0,6.0,01:30:00,2022-04-20,1.0,-1.0,WON,LOST,14.0
Copa do Brasil,Clube Do Remo,2.0,1.0,Cruzeiro,5.0,2.0,,,2.0,1.0,01:30:00,2022-04-20,1.0,-1.0,WON,LOST,7.0
Copa do Brasil,EC Bahia,0.0,0.0,Azuriz FC,10.0,1.0,168.0,91.0,20.0,5.0,23:30:00,2022-04-19,0.0,0.0,DRAW,DRAW,11.0
Copa do Brasil,CSA,0.0,3.0,America MG,3.0,7.0,117.0,97.0,15.0,9.0,23:00:00,2022-04-19,-3.0,3.0,LOST,WON,10.0
Copa do Brasil,Vitoria EC,2.0,0.0,GE Gloria,7.0,2.0,95.0,83.0,10.0,3.0,00:30:00,2022-03-24,2.0,-2.0,WON,LOST,9.0
Copa do Brasil,Goias,1.0,0.0,Criciuma,5.0,4.0,133.0,77.0,16.0,8.0,00:30:00,2022-03-18,1.0,-1.0,WON,LOST,9.0
Copa do Brasil,Real Noroeste ES,0.0,1.0,EC Juventude,9.0,1.0,82.0,80.0,18.0,7.0,22:00:00,2022-03-17,-1.0,1.0,LOST,WON,10.0
Copa do Brasil,CSA,4.0,1.0,Paysandu,8.0,6.0,134.0,100.0,21.0,14.0,00:30:00,2022-03-17,3.0,-3.0,WON,LOST,14.0
Copa do Brasil,Sao Paulo,2.0,0.0,Manaus,9.0,2.0,125.0,79.0,16.0,5.0,00:30:00,2022-03-17,2.0,-2.0,WON,LOST,11.0
Copa do Brasil,tuntum EC,0.0,3.0,Cruzeiro,4.0,3.0,108.0,92.0,18.0,9.0,23:30:00,2022-03-16,-3.0,3.0,LOST,WON,7.0
Copa do Brasil,Globo FC,1.0,1.0,Brasiliense,10.0,4.0,110.0,84.0,6.0,8.0,23:30:00,2022-03-16,0.0,0.0,DRAW,DRAW,14.0
Copa do Brasil,Tocantinopolis EC,2.0,0.0,FC Cascavel,3.0,9.0,53.0,94.0,6.0,13.0,23:30:00,2022-03-16,2.0,-2.0,WON,LOST,12.0
Copa do Brasil,Moto Club de São Luís,1.0,1.0,Tombense MG,0.0,4.0,159.0,116.0,9.0,8.0,22:00:00,2022-03-16,0.0,0.0,DRAW,DRAW,4.0
Copa do Brasil,Guarani SP,2.0,2.0,Vila Nova,7.0,6.0,132.0,104.0,15.0,8.0,00:30:00,2022-03-16,0.0,0.0,DRAW,DRAW,13.0
Copa do Brasil,Ceara,2.0,0.0,Tuna Luso,6.0,0.0,131.0,82.0,23.0,2.0,00:30:00,2022-03-16,2.0,-2.0,WON,LOST,6.0
Copa do Brasil,Avai,1.0,2.0,Ceilandia,3.0,4.0,121.0,109.0,15.0,7.0,01:28:15,2022-03-11,-1.0,1.0,LOST,WON,7.0
Copa do Brasil,Pouso Alegre,1.0,1.0,Coritiba,3.0,4.0,111.0,128.0,11.0,15.0,00:30:00,2022-03-11,0.0,0.0,DRAW,DRAW,7.0
Copa do Brasil,Juazeirense,1.0,1.0,Vasco Da Gama RJ,7.0,4.0,118.0,93.0,17.0,8.0,00:30:00,2022-03-10,0.0,0.0,DRAW,DRAW,11.0
Copa do Brasil,Azuriz FC,1.0,0.0,Mirassol,2.0,8.0,105.0,177.0,9.0,14.0,22:00:00,2022-03-09,1.0,-1.0,WON,LOST,10.0
Copa do Brasil,Fluminense PI,1.0,1.0,Santos,3.0,8.0,127.0,134.0,16.0,8.0,00:30:00,2022-03-09,0.0,0.0,DRAW,DRAW,11.0
Copa do Brasil,Figueirense,2.0,2.0,Cuiaba,8.0,4.0,82.0,69.0,11.0,8.0,00:30:00,2022-03-09,0.0,0.0,DRAW,DRAW,12.0
